Patch1_Us,Patch1_Ls,Patch2_Us,Patch2_Rs,Patch3_Us,Distance,Alpha,Lambda,Beta,Var,Total_prop_Ls
50,2,50,2,50,1,0.01,0.0045,1,1.55E-27,0.5
50,2,50,2,50,1,0.01,0.0045,1.1,9.42E-28,0.5
50,2,50,2,50,1,0.01,0.0045,1.2,6.02E-20,0.50003
50,2,50,2,50,1,0.01,0.0045,1.3,3.22E-16,0.91654
50,2,50,2,50,1,0.01,0.0045,1.4,7.28E-25,1
50,2,50,2,50,1,0.01,0.0045,1.5,3.27E-30,1
50,2,50,2,50,1,0.01,0.0045,1.6,2.50E-37,-3.52E-12
50,2,50,2,50,1,0.01,0.0045,1.7,0,1
50,2,50,2,50,1,0.01,0.0045,1.8,9.59E-33,-1.53E-11
50,2,50,2,50,1,0.01,0.0045,1.9,0,1
50,2,50,2,50,1,0.01,0.0045,2,2.47E-32,1
50,2,50,2,50,1,0.01,0.0045,2.1,0,1
50,2,50,2,50,1,0.01,0.0045,2.2,2.47E-32,1
50,2,50,2,50,1,0.01,0.0045,2.3,0,1
50,2,50,2,50,1,0.01,0.0045,2.4,1.48E-34,-4.06E-13
50,2,50,2,50,1,0.01,0.0045,2.5,3.72E-35,-5.80E-13
50,2,50,2,50,1,0.01,0.0045,2.6,0,1
50,2,50,2,50,1,0.01,0.0045,2.7,0,1
50,2,50,2,50,1,0.01,0.0045,2.8,3.44E-37,-4.28E-14
50,2,50,2,50,1,0.01,0.0045,2.9,1.23E-36,-1.93E-15
50,2,50,2,50,1,0.01,0.0045,3,3.77E-36,-2.80E-13
50,2,50,2,50,1,0.01,0.0045,3.1,3.05E-37,-2.17E-14
50,2,50,2,50,1,0.01,0.0045,3.2,5.61E-41,-3.03E-13
50,2,50,2,50,1,0.01,0.0045,3.3,0.15264,0.59705
50,2,50,2,50,1,0.01,0.0045,3.4,0.15873,0.41067
50,2,50,2,50,1,0.01,0.0045,3.5,0.16249,0.41527
50,2,50,2,50,1,0.01,0.0045,3.6,0.16525,0.41858
50,2,50,2,50,1,0.01,0.0045,3.7,0.16741,0.57887
50,2,50,2,50,1,0.01,0.0045,3.8,0.16915,0.57684
50,2,50,2,50,1,0.01,0.0045,3.9,0.1706,0.42483
50,2,50,2,50,1,0.01,0.0045,4,0.17181,0.42623
50,2,50,2,50,1,0.01,0.0045,4.1,0.17283,0.4274
50,2,50,2,50,1,0.01,0.0045,4.2,0.17371,0.42841
50,2,50,2,50,1,0.01,0.0045,4.3,0.17446,0.42927
50,2,50,2,50,1,0.01,0.0045,4.4,0.17512,0.56998
50,2,50,2,50,1,0.01,0.0045,4.5,0.17568,0.43067
50,2,50,2,50,1,0.01,0.0045,4.6,0.17618,0.56876
50,2,50,2,50,1,0.01,0.0045,4.7,0.17661,0.56826
50,2,50,2,50,1,0.01,0.0045,4.8,0.17699,0.56782
50,2,50,2,50,1,0.01,0.0045,4.9,0.17733,0.43256
50,2,50,2,50,1,0.01,0.0045,5,0.17763,0.5671
50,2,50,2,50,1,0.01,0.005,1,2.22E-29,0.5
50,2,50,2,50,1,0.01,0.005,1.1,8.96E-26,0.5
50,2,50,2,50,1,0.01,0.005,1.2,4.49E-19,0.50006
50,2,50,2,50,1,0.01,0.005,1.3,1.89E-17,0.069966
50,2,50,2,50,1,0.01,0.005,1.4,1.73E-28,3.88E-08
50,2,50,2,50,1,0.01,0.005,1.5,4.63E-30,5.87E-11
50,2,50,2,50,1,0.01,0.005,1.6,9.48E-40,-5.80E-13
50,2,50,2,50,1,0.01,0.005,1.7,0,1
50,2,50,2,50,1,0.01,0.005,1.8,0,1
50,2,50,2,50,1,0.01,0.005,1.9,5.94E-36,-1.40E-12
50,2,50,2,50,1,0.01,0.005,2,1.68E-34,6.83E-13
50,2,50,2,50,1,0.01,0.005,2.1,2.83E-35,3.12E-12
50,2,50,2,50,1,0.01,0.005,2.2,3.23E-36,1.68E-12
50,2,50,2,50,1,0.01,0.005,2.3,6.39E-35,2.03E-13
50,2,50,2,50,1,0.01,0.005,2.4,0,1
50,2,50,2,50,1,0.01,0.005,2.5,0,1
50,2,50,2,50,1,0.01,0.005,2.6,0,1
50,2,50,2,50,1,0.01,0.005,2.7,0,1
