Environment,Alpha,Lambda,Beta,Var,Total_prop_Ls
forestDist,0.005,0.065,4,0.074462,0.73073
forestDist,0.005,0.065,4.2,0.075102,0.72989
forestDist,0.005,0.065,4.4,0.075555,0.7293
forestDist,0.005,0.065,4.6,0.075893,0.72887
forestDist,0.005,0.065,4.8,0.076151,0.72853
forestDist,0.005,0.065,5,0.076353,0.72828
forestDist,0.005,0.07,1,1.25E-08,0.61013
forestDist,0.005,0.07,1.2,8.34E-13,1
forestDist,0.005,0.07,1.4,1.88E-16,1
forestDist,0.005,0.07,1.6,2.55E-17,1
forestDist,0.005,0.07,1.8,2.47E-17,1
forestDist,0.005,0.07,2,6.08E-17,1
forestDist,0.005,0.07,2.2,3.62E-16,1
forestDist,0.005,0.07,2.4,2.73E-15,1
forestDist,0.005,0.07,2.6,5.33E-14,1
forestDist,0.005,0.07,2.8,5.69E-12,1
forestDist,0.005,0.07,3,9.59E-08,0.99965
forestDist,0.005,0.07,3.2,0.015029,0.94398
forestDist,0.005,0.07,3.4,0.015762,0.94254
forestDist,0.005,0.07,3.6,0.044947,0.81684
forestDist,0.005,0.07,3.8,0.053425,0.78674
forestDist,0.005,0.07,4,0.064585,0.74647
forestDist,0.005,0.07,4.2,0.070928,0.73105
forestDist,0.005,0.07,4.4,0.071671,0.73
forestDist,0.005,0.07,4.6,0.072155,0.72932
forestDist,0.005,0.07,4.8,0.072508,0.72883
forestDist,0.005,0.07,5,0.072777,0.72846
forestDist,0.005,0.075,1,4.50E-09,0.61134
forestDist,0.005,0.075,1.2,2.71E-13,1
forestDist,0.005,0.075,1.4,4.17E-17,1
forestDist,0.005,0.075,1.6,4.70E-18,1
forestDist,0.005,0.075,1.8,3.16E-18,1
forestDist,0.005,0.075,2,4.80E-18,1
forestDist,0.005,0.075,2.2,2.16E-17,1
forestDist,0.005,0.075,2.4,9.79E-17,1
forestDist,0.005,0.075,2.6,8.48E-16,1
forestDist,0.005,0.075,2.8,1.33E-14,1
forestDist,0.005,0.075,3,7.72E-13,1
forestDist,0.005,0.075,3.2,1.32E-09,0.99997
forestDist,0.005,0.075,3.4,0.014215,0.94432
forestDist,0.005,0.075,3.6,0.015077,0.94253
forestDist,0.005,0.075,3.8,0.041458,0.82697
forestDist,0.005,0.075,4,0.046597,0.80892
forestDist,0.005,0.075,4.2,0.053147,0.77108
forestDist,0.005,0.075,4.4,0.063291,0.74045
forestDist,0.005,0.075,4.6,0.068342,0.73034
forestDist,0.005,0.075,4.8,0.068934,0.72947
forestDist,0.005,0.075,5,0.069326,0.72889
forestDist,0.005,0.08,1,1.60E-09,0.61234
forestDist,0.005,0.08,1.2,9.46E-14,1
forestDist,0.005,0.08,1.4,8.30E-18,1
forestDist,0.005,0.08,1.6,7.66E-19,1
forestDist,0.005,0.08,1.8,5.08E-19,1
forestDist,0.005,0.08,2,4.95E-19,1
forestDist,0.005,0.08,2.2,1.49E-18,1
forestDist,0.005,0.08,2.4,4.88E-18,1
forestDist,0.005,0.08,2.6,3.33E-17,1
forestDist,0.005,0.08,2.8,2.26E-16,1
forestDist,0.005,0.08,3,2.63E-15,1
forestDist,0.005,0.08,3.2,8.69E-14,1
forestDist,0.005,0.08,3.4,2.31E-11,1
forestDist,0.005,0.08,3.6,0.0027101,0.98434
forestDist,0.005,0.08,3.8,0.034686,0.85584
forestDist,0.005,0.08,4,0.035404,0.85327
forestDist,0.005,0.08,4.2,0.040446,0.82505
forestDist,0.005,0.08,4.4,0.045368,0.80678
forestDist,0.005,0.08,4.6,0.052912,0.76595
forestDist,0.005,0.08,4.8,0.060513,0.74377
forestDist,0.005,0.08,5,0.065747,0.72991
forestDist,0.005,0.085,1,5.66E-10,0.61314
forestDist,0.005,0.085,1.2,3.60E-14,1
forestDist,0.005,0.085,1.4,1.61E-18,1
forestDist,0.005,0.085,1.6,2.55E-20,1
forestDist,0.005,0.085,1.8,2.27E-20,1
forestDist,0.005,0.085,2,6.00E-20,1
forestDist,0.005,0.085,2.2,1.63E-19,1
forestDist,0.005,0.085,2.4,1.17E-19,1
forestDist,0.005,0.085,2.6,1.18E-18,1
forestDist,0.005,0.085,2.8,8.90E-18,1
forestDist,0.005,0.085,3,4.74E-17,1
forestDist,0.005,0.085,3.2,4.89E-16,1
forestDist,0.005,0.085,3.4,8.93E-15,1
forestDist,0.005,0.085,3.6,6.36E-13,1
forestDist,0.005,0.085,3.8,0.020992,0.9045
forestDist,0.005,0.085,4,0.032757,0.85677
forestDist,0.005,0.085,4.2,0.033957,0.85436
forestDist,0.005,0.085,4.4,0.034562,0.84642
forestDist,0.005,0.085,4.6,0.039237,0.82395
forestDist,0.005,0.085,4.8,0.043812,0.80656
forestDist,0.005,0.085,5,0.048549,0.7803
forestDist,0.005,0.09,1,2.01E-10,0.61376
forestDist,0.005,0.09,1.2,1.49E-14,1
forestDist,0.005,0.09,1.4,1.08E-19,1
forestDist,0.005,0.09,1.6,1.79E-20,1
forestDist,0.005,0.09,1.8,1.33E-20,1
forestDist,0.005,0.09,2,3.80E-22,1
forestDist,0.005,0.09,2.2,1.68E-20,1
forestDist,0.005,0.09,2.4,3.49E-20,1
forestDist,0.005,0.09,2.6,2.68E-20,1
forestDist,0.005,0.09,2.8,7.07E-20,1
forestDist,0.005,0.09,3,2.19E-18,1
forestDist,0.005,0.09,3.2,8.79E-18,1
forestDist,0.005,0.09,3.4,8.96E-17,1
forestDist,0.005,0.09,3.6,1.03E-15,1
forestDist,0.005,0.09,3.8,0.019119,0.90791
forestDist,0.005,0.09,4,0.02006,0.90559
forestDist,0.005,0.09,4.2,0.025809,0.87791
forestDist,0.005,0.09,4.4,0.032522,0.85449
forestDist,0.005,0.09,4.6,0.033055,0.85333
forestDist,0.005,0.09,4.8,0.033604,0.84201
forestDist,0.005,0.09,5,0.037982,0.82332
forestDist,0.005,0.095,1,6.99E-11,0.61422
forestDist,0.005,0.095,1.2,6.48E-15,1
forestDist,0.005,0.095,1.4,2.75E-22,1
forestDist,0.005,0.095,1.6,1.92E-22,1
forestDist,0.005,0.095,1.8,2.23E-21,1
forestDist,0.005,0.095,2,7.62E-22,1
forestDist,0.005,0.095,2.2,1.40E-22,1
forestDist,0.005,0.095,2.4,4.60E-21,1
forestDist,0.005,0.095,2.6,3.81E-22,1
forestDist,0.005,0.095,2.8,9.48E-22,1
forestDist,0.005,0.095,3,6.72E-20,1
forestDist,0.005,0.095,3.2,8.34E-20,1
forestDist,0.005,0.095,3.4,1.01E-18,1
forestDist,0.005,0.095,3.6,1.40E-17,1
forestDist,0.005,0.095,3.8,1.28E-10,0.99999
forestDist,0.005,0.095,4,0.017769,0.90941
forestDist,0.005,0.095,4.2,0.019207,0.90571
forestDist,0.005,0.095,4.4,0.019751,0.90423
forestDist,0.005,0.095,4.6,0.025772,0.87534
forestDist,0.005,0.095,4.8,0.031715,0.85342
forestDist,0.005,0.095,5,0.032096,0.85256
forestDist,0.005,0.1,1,2.40E-11,0.61454
forestDist,0.005,0.1,1.2,3.03E-15,1
forestDist,0.005,0.1,1.4,1.05E-20,1
forestDist,0.005,0.1,1.6,2.00E-22,1
forestDist,0.005,0.1,1.8,3.48E-22,1
forestDist,0.005,0.1,2,6.85E-23,1
forestDist,0.005,0.1,2.2,1.01E-22,1
forestDist,0.005,0.1,2.4,1.06E-22,1
forestDist,0.005,0.1,2.6,2.13E-22,1
forestDist,0.005,0.1,2.8,4.18E-22,1
forestDist,0.005,0.1,3,6.93E-22,1
forestDist,0.005,0.1,3.2,1.13E-20,1
forestDist,0.005,0.1,3.4,6.47E-20,1
forestDist,0.005,0.1,3.6,1.33E-19,1
forestDist,0.005,0.1,3.8,2.39E-14,1
forestDist,0.005,0.1,4,4.38E-12,1
forestDist,0.005,0.1,4.2,1.12E-07,0.99952
forestDist,0.005,0.1,4.4,0.018286,0.90613
forestDist,0.005,0.1,4.6,0.018927,0.90446
forestDist,0.005,0.1,4.8,0.019312,0.90324
forestDist,0.005,0.1,5,0.025147,0.87428
