Environment,Alpha,Lambda,Beta,Var,Total_prop_Ls
directDist,0.005,0.005,2.2,0.15876,0.7388
directDist,0.005,0.005,2.4,0.16597,0.72103
directDist,0.005,0.005,2.6,0.1661,0.72102
directDist,0.005,0.005,2.8,0.16617,0.72102
directDist,0.005,0.005,3,0.17282,0.70702
directDist,0.005,0.005,3.2,0.17285,0.70702
directDist,0.005,0.005,3.4,0.17286,0.70702
directDist,0.005,0.005,3.6,0.18391,0.68546
directDist,0.005,0.005,3.8,0.18391,0.68546
directDist,0.005,0.005,4,0.18889,0.67678
directDist,0.005,0.005,4.2,0.18889,0.67678
directDist,0.005,0.005,4.4,0.18889,0.67677
directDist,0.005,0.005,4.6,0.19347,0.6719
directDist,0.005,0.005,4.8,0.19347,0.6719
directDist,0.005,0.005,5,0.19347,0.6719
directDist,0.005,0.01,1,0.0011945,0.57465
directDist,0.005,0.01,1.2,0.037962,0.86959
directDist,0.005,0.01,1.4,0.083063,0.81678
directDist,0.005,0.01,1.6,0.093406,0.81199
directDist,0.005,0.01,1.8,0.10934,0.79634
directDist,0.005,0.01,2,0.12085,0.77815
directDist,0.005,0.01,2.2,0.14113,0.73837
directDist,0.005,0.01,2.4,0.14187,0.73817
directDist,0.005,0.01,2.6,0.14229,0.73805
directDist,0.005,0.01,2.8,0.14867,0.72012
directDist,0.005,0.01,3,0.14882,0.72008
directDist,0.005,0.01,3.2,0.14891,0.72006
directDist,0.005,0.01,3.4,0.14897,0.72005
directDist,0.005,0.01,3.6,0.15487,0.70612
directDist,0.005,0.01,3.8,0.15489,0.70612
directDist,0.005,0.01,4,0.1549,0.70612
directDist,0.005,0.01,4.2,0.15491,0.70612
directDist,0.005,0.01,4.4,0.15492,0.70612
directDist,0.005,0.01,4.6,0.15969,0.69395
directDist,0.005,0.01,4.8,0.16401,0.68504
directDist,0.005,0.01,5,0.16401,0.68504
directDist,0.005,0.015,1,0.00028198,0.57826
directDist,0.005,0.015,1.2,0.00092079,0.98317
directDist,0.005,0.015,1.4,0.043002,0.8812
directDist,0.005,0.015,1.6,0.071873,0.82392
directDist,0.005,0.015,1.8,0.084442,0.81307
directDist,0.005,0.015,2,0.087423,0.81147
directDist,0.005,0.015,2.2,0.10939,0.77781
directDist,0.005,0.015,2.4,0.11629,0.76172
directDist,0.005,0.015,2.6,0.12805,0.73787
directDist,0.005,0.015,2.8,0.12858,0.73764
directDist,0.005,0.015,3,0.13439,0.71953
directDist,0.005,0.015,3.2,0.1346,0.71945
directDist,0.005,0.015,3.4,0.13474,0.7194
directDist,0.005,0.015,3.6,0.13483,0.71936
directDist,0.005,0.015,3.8,0.14018,0.70552
directDist,0.005,0.015,4,0.14022,0.7055
directDist,0.005,0.015,4.2,0.14025,0.7055
